case,k,U_k (power at pass k),p_k,A'_k,eta_ext^(k),fraction >60 deg,cumulative eta_ext,p (cos.sin),A' (cos.sin),eq3
Ag n_sub 1.5,0,1.0,0.3839512689572701,0.03381932944851518,0.3839512689572701,0.29021102614570343,0.3839512689572701,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,1,0.5952133509958808,0.33855995494476976,0.03671324760722372,0.20151540529569084,0.4036633695431967,0.585466674252961,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,2,0.3792431131879289,0.29361280815433055,0.03956871468672585,0.11135063543629845,0.512606330821189,0.6968173096892594,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,3,0.25729151241410764,0.2533323998204984,0.04208904174503891,0.06518027629331144,0.6071635353050494,0.7619975859825708,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,4,0.1840247344656471,0.22032365938031132,0.04414743378157737,0.040545002913961466,0.6820638819907805,0.8025425888965323,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,5,0.13714481384290156,0.1950841477029442,0.04575128598508382,0.02675477912042139,0.737228284903962,0.8292973680169536,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,6,0.10533895191760086,0.17664034359483535,0.046974747340865375,0.018607108660644855,0.7758428532922842,0.8479044766775985,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,7,0.08265709227156363,0.16345478602006525,0.047907026907079264,0.013510697330289223,0.8020837944978282,0.8614151740078877,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,8,0.06583329904685152,0.15403782742485453,0.048626861579233016,0.010140818357387754,0.8197273779889032,0.8715559923652755,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,9,0.052983874988891934,0.14719788991457156,0.04919504248928808,0.007799114597862336,0.8316647900956231,0.8793551069631378,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,10,0.04296147791804893,0.14207183688739725,0.04965541235156956,0.006103616083214566,0.839918183715229,0.8854587230463523,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,11,0.03502728894298802,0.13806781330232976,0.050038510721430396,0.004836141190267229,0.8458306622297997,0.8902948642366195,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,12,0.02868007997736004,0.1347919178548392,0.05036529404933798,0.0038658429843785335,0.8502685479592407,0.894160707220998,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,13,0.023564143221190645,0.13198578576480643,0.050650112503490385,0.0031101319589232844,0.8537820205929526,0.8972708391799213,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,14,0.01941772376108362,0.12948075421396418,0.05090286069902694,0.0025142215177035203,0.856718170371346,0.8997850606976249,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,15,0.016042801790715117,0.12716653264395597,0.05113045373586078,0.0020401074776194893,0.8592958111713542,0.9018251681752444,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,16,0.01328649001380639,0.12497059386761586,0.05133781321626696,0.0016604205474415321,0.8616533410293621,0.9034855887226859,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,17,0.011028994033889211,0.1228448987996762,0.05152851720884899,0.0013548556559553526,0.8638787867495236,0.9048404443786413,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,18,0.00917544587535633,0.12075743765223801,0.05170522667223654,0.0011080033332248264,0.8660284740882597,0.9059484477118661,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,19,0.007650133391810683,0.11868686382418041,0.05186996557717383,0.0009079703401106498,0.8681385765313696,0.9068564180519768,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,20,0.006392283826759967,0.11661908848895947,0.05202430602617092,0.0007454623132394651,0.8702322543103802,0.9076018803652163,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,21,0.005352901392600321,0.11454510909912231,0.052169491838600535,0.0006131486740122476,0.8723240794022886,0.9082150290392286,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,22,0.004492348054822295,0.11245961071102265,0.052306522238849906,0.0005052077134237352,0.874422795798972,0.9087202367526523,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,23,0.0037784654688667015,0.11036004923047057,0.05243620958653461,0.00041699163515976226,0.8765330608901618,0.9091372283878121,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,24,0.0031851010676070576,0.10824603341843217,0.052559220127594286,0.00034477455660527755,0.8786565646588085,0.9094820029444174,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,25,0.0026909419050369586,0.10611889039178897,0.05267610356155883,0.0002855597690712888,0.8807927702704019,0.9097675627134887,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,26,0.0022785863142108734,0.1039813421915423,0.05278731517610469,0.00023693046325092595,0.8829394256029638,0.9100044931767396,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,27,0.0019338013688111415,0.1018372481800941,0.05289323298255599,0.0001969330099266259,0.8850929373588986,0.9102014261866662,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,28,0.0016449267266033356,0.09969138546048668,0.05299417143178675,0.00016398502435606972,0.8872486635405415,0.9103654112110223,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,29,0.0014023945349487094,0.09754925082695691,0.053090392732307756,0.00013680253624806524,0.8894011576879839,0.9105022137472704,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,30,0.0011983418174898585,0.09541687519043383,0.05318211642598214,0.00011434203163490747,0.8915443841853056,0.9106165557789053,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,31,0.0010262968448012937,0.09330064633321702,0.053269527635617875,9.575415894970202e-05,0.8936719150148719,0.910712309937855,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,32,0.0008809248829661091,0.09120713905864665,0.053352784240670026,8.034663830091194e-05,0.8957771126981795,0.9107926565761559,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,33,0.0007578217261811754,0.089142953818987,0.05343202313561113,6.755446713999353e-05,0.897853300669511,0.910860211043296,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,34,0.0006533457717110736,0.08711456604684123,0.05350736566262726,5.691593338114877e-05,0.8998939202883952,0.9109171269766771,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,35,0.0005644812450893527,0.08512818889723552,0.05357892227436345,4.805326606091312e-05,0.9018926726666701,0.9109651802427381,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,36,0.000488726645828583,0.0831896520891476,0.05364679646501813,4.0656999633175876e-05,0.9038436431691295,0.9110058372423713,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,37,0.00042400364527903707,0.08130429914888015,0.05371108800316671,3.44733192159825e-05,0.9057414066285562,0.9110403105615873,0.4273761614677933,0.02755034248112953,0.9644005268479652
