d_ETL_nm,k_ITO_550,Theta,mode,eta_sub,spp,wg,abs,eta_ext,EQE
200,0.0032,0.667,full_400_700,0.960466,0.011130,0.000081,0.028323,0.899381,0.863824
200,0.0032,0.800,full_400_700,0.968693,0.007489,0.000093,0.023725,0.894768,0.866755
200,0.0032,0.900,full_400_700,0.974610,0.004913,0.000102,0.020374,0.891496,0.868861
200,0.0020,0.667,full_400_700,0.963182,0.011111,0.000057,0.025650,0.915186,0.881491
200,0.0020,0.800,full_400_700,0.971495,0.007472,0.000066,0.020968,0.911344,0.885366
200,0.0020,0.900,full_400_700,0.977473,0.004897,0.000072,0.017559,0.908618,0.888150
300,0.0032,0.667,full_400_700,0.977595,0.001305,0.000157,0.020943,0.894309,0.874271
300,0.0032,0.800,full_400_700,0.979182,0.000906,0.000185,0.019727,0.888529,0.870031
300,0.0032,0.900,full_400_700,0.980322,0.000615,0.000204,0.018859,0.884279,0.866878
300,0.0020,0.667,full_400_700,0.980768,0.001283,0.000112,0.017837,0.911912,0.894374
300,0.0020,0.800,full_400_700,0.982477,0.000885,0.000131,0.016507,0.907019,0.891125
300,0.0020,0.900,full_400_700,0.983706,0.000596,0.000145,0.015554,0.903423,0.888702
200,0.0032,0.667,single_550,0.961981,0.019924,0.000058,0.018038,0.906378,0.871918
200,0.0032,0.800,single_550,0.969877,0.013301,0.000068,0.016755,0.901907,0.874739
200,0.0032,0.900,single_550,0.975490,0.008593,0.000074,0.015843,0.898730,0.876702
200,0.0020,0.667,single_550,0.964528,0.019906,0.000041,0.015524,0.921805,0.889106
200,0.0020,0.800,single_550,0.972503,0.013284,0.000048,0.014165,0.918139,0.892893
200,0.0020,0.900,single_550,0.978171,0.008577,0.000053,0.013199,0.915535,0.895550
300,0.0032,0.667,single_550,0.978770,0.002606,0.000081,0.018543,0.899472,0.880376
300,0.0032,0.800,single_550,0.980043,0.001781,0.000096,0.018079,0.893970,0.876130
300,0.0032,0.900,single_550,0.980973,0.001179,0.000107,0.017741,0.889894,0.872962
300,0.0020,0.667,single_550,0.981755,0.002585,0.000055,0.015605,0.916651,0.899927
300,0.0020,0.800,single_550,0.983138,0.001761,0.000065,0.015037,0.912059,0.896679
300,0.0020,0.900,single_550,0.984147,0.001159,0.000072,0.014622,0.908657,0.894252
