d_ETL_nm,k_ITO_550,Theta,mode,eta_sub,spp,wg,abs,eta_ext,EQE
200,0.0032,0.667,full_400_700,0.960466,0.011130,0.000081,0.028323,0.887257,0.852180
200,0.0032,0.800,full_400_700,0.968693,0.007489,0.000093,0.023725,0.880155,0.852600
200,0.0032,0.900,full_400_700,0.974610,0.004913,0.000102,0.020374,0.874946,0.852731
200,0.0020,0.667,full_400_700,0.963182,0.011111,0.000057,0.025650,0.905615,0.872272
200,0.0020,0.800,full_400_700,0.971495,0.007472,0.000066,0.020968,0.899795,0.874146
200,0.0020,0.900,full_400_700,0.977473,0.004897,0.000072,0.017559,0.895527,0.875354
300,0.0032,0.667,full_400_700,0.977595,0.001305,0.000157,0.020943,0.883508,0.863712
300,0.0032,0.800,full_400_700,0.979182,0.000906,0.000185,0.019727,0.875746,0.857514
300,0.0032,0.900,full_400_700,0.980322,0.000615,0.000204,0.018859,0.869977,0.852857
300,0.0020,0.667,full_400_700,0.980768,0.001283,0.000112,0.017837,0.903270,0.885898
300,0.0020,0.800,full_400_700,0.982477,0.000885,0.000131,0.016507,0.896744,0.881030
300,0.0020,0.900,full_400_700,0.983706,0.000596,0.000145,0.015554,0.891895,0.877362
200,0.0032,0.667,single_550,0.961981,0.019924,0.000058,0.018038,0.895771,0.861714
200,0.0032,0.800,single_550,0.969877,0.013301,0.000068,0.016755,0.888883,0.862107
200,0.0032,0.900,single_550,0.975490,0.008593,0.000074,0.015843,0.883808,0.862146
200,0.0020,0.667,single_550,0.964528,0.019906,0.000041,0.015524,0.913654,0.881245
200,0.0020,0.800,single_550,0.972503,0.013284,0.000048,0.014165,0.908086,0.883117
200,0.0020,0.900,single_550,0.978171,0.008577,0.000053,0.013199,0.903985,0.884252
300,0.0032,0.667,single_550,0.978770,0.002606,0.000081,0.018543,0.890656,0.871747
300,0.0032,0.800,single_550,0.980043,0.001781,0.000096,0.018079,0.883678,0.866043
300,0.0032,0.900,single_550,0.980973,0.001179,0.000107,0.017741,0.878490,0.861775
300,0.0020,0.667,single_550,0.981755,0.002585,0.000055,0.015605,0.909706,0.893109
300,0.0020,0.800,single_550,0.983138,0.001761,0.000065,0.015037,0.903912,0.888670
300,0.0020,0.900,single_550,0.984147,0.001159,0.000072,0.014622,0.899604,0.885343
