d_ETL_nm,k_ITO_550,Theta,mode,eta_sub,spp,wg,abs,eta_ext,EQE
200,0.0032,0.667,full_400_700,1.107783,-0.094732,0.013304,-0.026354,0.887875,0.983573
200,0.0032,0.800,full_400_700,1.087683,-0.090002,0.014877,-0.012558,0.880841,0.958076
200,0.0032,0.900,full_400_700,1.074087,-0.086812,0.015923,-0.003198,0.875663,0.940537
200,0.0020,0.667,full_400_700,1.112511,-0.096358,0.013297,-0.029451,0.906101,1.008048
200,0.0020,0.800,full_400_700,1.092509,-0.091708,0.014847,-0.015648,0.900369,0.983661
200,0.0020,0.900,full_400_700,1.078984,-0.088575,0.015876,-0.006285,0.896149,0.966931
300,0.0032,0.667,full_400_700,1.093658,-0.095909,0.022788,-0.020537,0.884245,0.967062
300,0.0032,0.800,full_400_700,1.081157,-0.100210,0.025984,-0.006931,0.876649,0.947795
300,0.0032,0.900,full_400_700,1.072479,-0.103365,0.028184,0.002702,0.871010,0.934141
300,0.0020,0.667,full_400_700,1.099366,-0.098047,0.022766,-0.024086,0.903929,0.993749
300,0.0020,0.800,full_400_700,1.087275,-0.102659,0.025899,-0.010515,0.897553,0.975887
300,0.0020,0.900,full_400_700,1.078908,-0.106052,0.028047,-0.000903,0.892822,0.963272
200,0.0032,0.667,single_550,1.155752,-0.145768,0.000637,-0.010621,0.895808,1.035332
200,0.0032,0.800,single_550,1.141964,-0.140092,0.000726,-0.002599,0.888919,1.015113
200,0.0032,0.900,single_550,1.132494,-0.136193,0.000787,0.002912,0.883843,1.000947
200,0.0020,0.667,single_550,1.161903,-0.148606,0.000409,-0.013707,0.913691,1.061621
200,0.0020,0.800,single_550,1.148354,-0.143137,0.000466,-0.005683,0.908123,1.042846
200,0.0020,0.900,single_550,1.139044,-0.139381,0.000506,-0.000169,0.904021,1.029719
300,0.0032,0.667,single_550,1.163507,-0.143595,0.001006,-0.020919,0.890690,1.036325
300,0.0032,0.800,single_550,1.158476,-0.152651,0.001182,-0.007007,0.883712,1.023760
300,0.0032,0.900,single_550,1.154837,-0.159200,0.001310,0.003053,0.878524,1.014552
300,0.0020,0.667,single_550,1.170683,-0.146785,0.000640,-0.024538,0.909741,1.065018
300,0.0020,0.800,single_550,1.166121,-0.156200,0.000752,-0.010673,0.903946,1.054111
300,0.0020,0.900,single_550,1.162820,-0.163013,0.000833,-0.000641,0.899638,1.046118
